,tissue_class,tissue_type,original_name,source,Lineage,Cell_Category,cell_fine_category,source,target,Genetype,Sex
174,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,APOL1,protein_coding,Both
175,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,TMEM14A,protein_coding,Both
176,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,DPP4,protein_coding,Both
177,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,NET1,protein_coding,Both
178,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,HAVCR2,protein_coding,Both
179,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,BCL6,protein_coding,Both
180,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SLC24A4,protein_coding,Both
181,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,TRERF1,protein_coding,Both
182,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CYB5R3,protein_coding,Both
183,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SLC66A1,protein_coding,Both
184,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CLEC9A,protein_coding,Both
185,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,DENND1B,protein_coding,Both
186,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ACTN1,protein_coding,Both
187,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,DHRS3,protein_coding,Both
188,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,WDFY4,protein_coding,Both
189,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ASB2,protein_coding,Both
190,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SNX3,protein_coding,Both
191,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,DNASE1L3,protein_coding,Both
192,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,B3GNT7,protein_coding,Both
193,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,RAB11FIP4,protein_coding,Both
194,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,GYPC,protein_coding,Both
195,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CTTNBP2NL,protein_coding,Both
196,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,IDO2,protein_coding,Both
197,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PDE4DIP,protein_coding,Both
198,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PIK3CB,protein_coding,Both
199,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,FHIP1B,protein_coding,Both
200,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CPVL,protein_coding,Both
201,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CSRP1,protein_coding,Both
202,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,GCSAM,protein_coding,Both
