,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
218,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Both
219,Liver,Fetal liver,Normal cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Both
220,Ovary,Ovary,Cancer cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Female
221,Ovary,Ovary,Normal cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Female
223,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD1C,CD1C,protein_coding,Both
224,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD200,CD200,protein_coding,Both
225,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD200,CD200,protein_coding,Both
226,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD22,CD22,protein_coding,Both
227,Blood,Blood,Cancer cell,Immune cell,B cell,B cell,CD22,CD22,protein_coding,Both
228,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,CD22,CD22,protein_coding,Both
229,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD22,CD22,protein_coding,Both
230,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD22,CD22,protein_coding,Both
231,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD24,CD24,protein_coding,Both
232,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD24,CD24,protein_coding,Both
233,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD24,CD24,protein_coding,Both
234,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD24,CD24,protein_coding,Both
235,Liver,Fetal liver,Normal cell,Immune cell,B cell,B cell,CD24,CD24,protein_coding,Both
236,Peritoneal fluid,Peritoneal fluid,Normal cell,Immune cell,B cell,B cell,CD24,CD24,protein_coding,Both
237,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD27,CD27,protein_coding,Both
238,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD27,CD27,protein_coding,Both
239,Breast,Breast,Cancer cell,Immune cell,B cell,B cell,CD27,CD27,protein_coding,Female
240,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD27,CD27,protein_coding,Both
241,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD28,CD28,protein_coding,Both
242,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD37,CD37,protein_coding,Both
243,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD37,CD37,protein_coding,Both
244,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD37,CD37,protein_coding,Both
245,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD38,CD38,protein_coding,Both
246,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD38,CD38,protein_coding,Both
247,Breast,Breast,Cancer cell,Immune cell,B cell,B cell,CD38,CD38,protein_coding,Female
248,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,CD40,CD40,protein_coding,Both
249,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD40,CD40,protein_coding,Both
250,Breast,Breast,Cancer cell,Immune cell,B cell,B cell,CD40,CD40,protein_coding,Female
251,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD40,CD40,protein_coding,Both
252,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD40,CD40,protein_coding,Both
253,Peritoneal fluid,Peritoneal fluid,Normal cell,Immune cell,B cell,B cell,CD40,CD40,protein_coding,Both
