,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex,,,,,
311,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GABPB1-AS1,GABPB1-AS1,lncRNA,Both,,,,,
312,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GALNTL6,GALNTL6,protein_coding,Both,,,,,
313,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GAPT,GAPT,protein_coding,Both,,,,,
314,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GEMIN7,GEMIN7,protein_coding,Both,,,,,
315,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GEMIN8,GEMIN8,protein_coding,Both,,,,,
316,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GEN1,GEN1,protein_coding,Both,,,,,
317,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GGA2,GGA2,protein_coding,Both,,,,,
318,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GH1,GH1,protein_coding,Both,,,,,
319,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GLDC,GLDC,protein_coding,Both,,,,,
320,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GLO1,GLO1,protein_coding,Both,,,,,
321,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GLRA3,GLRA3,protein_coding,Both,,,,,
322,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GMDS,GMDS,protein_coding,Both,,,,,
323,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GMPPB,GMPPB,protein_coding,Both,,,,,
324,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GNB5,GNB5,protein_coding,Both,,,,,
325,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GNG3,GNG3,protein_coding,Both,,,,,
326,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GNG7,GNG7,protein_coding,Both,,,,,
327,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GOLPH3L,GOLPH3L,protein_coding,Both,,,,,
328,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPC3,GPC3,protein_coding,Both,,,,,
329,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPD1,GPD1,protein_coding,Both,,,,,
330,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GPM6A,GPM6A,protein_coding,Both,,,,,
331,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPR160,GPR160,protein_coding,Both,,,,,
333,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GPR18,GPR18,protein_coding,Both,,,,,
334,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GPR183,GPR183,protein_coding,Both,,,,,
336,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPRC5D,GPRC5D,protein_coding,Both,,,,,
338,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GRAP,GRAP,protein_coding,Both,,,,,
339,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GRB2,GRB2,protein_coding,Both,,,,,
340,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GTF2H5,GTF2H5,protein_coding,Both,,,,,
342,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GUCD1,GUCD1,protein_coding,Both,,,,,
344,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,MS4A1,MS4A1,protein_coding,Both,,,,,
347,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HIST1H3J,H3C12,protein_coding,Both,,,,,
348,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HIST1H4C,H4C3,protein_coding,Both,,,,,
349,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HADHB,HADHB,protein_coding,Both,,,,,
350,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HCCS,HCCS,protein_coding,Both,,,,,
351,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HDAC9,HDAC9,protein_coding,Both,,,,,
352,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CXCR4,CXCR4,protein_coding,Both,,,,,
355,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,HHEX,HHEX,protein_coding,Both,,,,,
357,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,HIP1R,HIP1R,protein_coding,Both,,,,,
359,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,HLA-DMA,HLA-DMA,protein_coding,Both,,,,,
361,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,HLA-DMB,HLA-DMB,protein_coding,Both,,,,,
362,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HLA-DOB,HLA-DOB,protein_coding,Both,,,,,
364,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,HLA-DPA1,HLA-DPA1,protein_coding,Both,,,,,
365,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HLA-DQA1,HLA-DQA1,protein_coding,Both,,,,,
366,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HLA-DQB1,HLA-DQB1,protein_coding,Both,,,,,
368,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HLA-DQB2,HLA-DQB2,protein_coding,Both,,,,,
369,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,HLA-DRB1,HLA-DRB1,protein_coding,Both,,,,,
