,source,target
1004,B cell,SNX22
1005,B cell,SNX22
1006,B cell,SNX29
1007,B cell,SNX29
1008,B cell,SOBP
1009,B cell,SOBP
1010,B cell,SORD
1011,B cell,SOWAHD
1012,B cell,SP100
1013,B cell,SP110
1014,B cell,SP110
1015,B cell,SP140
1016,B cell,SP140
1017,B cell,SP140L
1018,B cell,SPATC1L
1019,B cell,SPATS2
1020,B cell,SPIB
1021,B cell,SPIB
1022,B cell,SPIB
1023,B cell,SPINT2
1024,B cell,SPN
1025,B cell,SRM
1026,B cell,SRP14-DT
1027,B cell,SSPN
1028,B cell,SSPN
1029,B cell,SSR4
1030,B cell,ST6GAL1
1031,B cell,ST6GAL1
1032,B cell,ST6GALNAC4
1033,B cell,STAG3
1034,B cell,STAG3
1035,B cell,STAP1
1036,B cell,STAP1
1037,B cell,STEAP1B
1038,B cell,STEAP1B
1039,B cell,STRADB
1040,B cell,STRBP
1041,B cell,STRBP
1042,B cell,STX7
1043,B cell,STX7
1044,B cell,SUCLA2
1045,B cell,SUCO
1046,B cell,SWAP70
1047,B cell,SWAP70
1048,B cell,SWAP70
1049,B cell,SYK
1050,B cell,SYNGR2
1051,B cell,SYNPO
1052,B cell,SYPL1
1053,B cell,SYPL1
1054,B cell,SYVN1
1055,B cell,TAF1D
1056,B cell,TAF7
1057,B cell,TAGAP
1058,B cell,TASP1
1059,B cell,TBX21
1060,B cell,TCEA1
1061,B cell,TCEAL9
1062,B cell,TCF19
1063,B cell,TCF3
1064,B cell,TCF4
1065,B cell,TCF4
1066,B cell,TCF4
1067,B cell,TCL1A
1068,B cell,TCL1A
1069,B cell,TCL1A
1070,B cell,TCL1A
1071,B cell,TCOF1
1072,B cell,TCOF1
1073,B cell,TEFM
1074,B cell,TEX9
1075,B cell,TFEB
1076,B cell,TFEB
1077,B cell,TFRC
1078,B cell,THY1
1079,B cell,TIFA
1080,B cell,TIMD4
1081,B cell,TIMM9
1082,B cell,TIPIN
1083,B cell,TKFC
1084,B cell,TLE1
1085,B cell,TLE1
1086,B cell,TLR10
1087,B cell,TLR10
1088,B cell,TMEM154
1089,B cell,TMEM154
1090,B cell,TMEM156
1091,B cell,TMEM243
1092,B cell,TMEM243
1093,B cell,TMUB2
1094,B cell,TNFAIP8
1095,B cell,TNFRSF13B
1096,B cell,TNFRSF13B
1097,B cell,TNFRSF13C
1098,B cell,TNFRSF13C
1099,B cell,TNFRSF13C
1100,B cell,TNFRSF17
1101,B cell,TNFRSF17
1102,B cell,TNFSF13B
1103,B cell,TP53INP1
1104,B cell,TPD52
1105,B cell,TPD52
1106,B cell,TRAF3
1107,B cell,TRAF5
1108,B cell,TRAM2
1109,B cell,TRAPPC8
1110,B cell,TRIM38
1111,B cell,TRIP11
1112,B cell,TSHR
1113,B cell,TSPAN1
1114,B cell,TSPAN13
1115,B cell,TSPAN13
1116,B cell,TSPAN3
1117,B cell,TTC14
1118,B cell,TTC37
1119,B cell,TTN
1120,B cell,TXNDC11
1121,B cell,TXNDC5
1122,B cell,UBE2J1
1123,B cell,UBE2N
1124,B cell,UGT2A1
1125,B cell,UGT8
1126,B cell,UHRF1
1127,B cell,UPF2
1128,B cell,UQCRH
1129,B cell,USO1
1130,B cell,USP8
1131,B cell,UVRAG
1132,B cell,UVRAG
1133,B cell,VAV3-AS1
1134,B cell,VIM
1135,B cell,VOPP1
1136,B cell,VPREB3
1137,B cell,VPREB3
1138,B cell,VPREB3
1139,B cell,WBP1
1140,B cell,WDFY4
1141,B cell,WDR4
1142,B cell,WFDC2
1143,B cell,WFS1
1144,B cell,WNT16
1145,B cell,XBP1
1146,B cell,XPNPEP2
1147,B cell,YBX3
1148,B cell,YPEL3
1149,B cell,ZAP70
1150,B cell,ZBED5
1151,B cell,ZBP1
1152,B cell,ZBTB32
1153,B cell,ZCCHC7
1154,B cell,ZCCHC7
1155,B cell,ZDHHC21
1156,B cell,ZDHHC21
1157,B cell,ZFAS1
1158,B cell,ZNF107
1159,B cell,ZNF107
1160,B cell,ZNF254
1161,B cell,ZNF296
1162,B cell,ZNF532
1163,B cell,ZNF532
